# graze_gui baked area ephemeris table (DE421, ICRF equatorial J2000, km, km/s)
# columns: JD_TT  moon_x moon_y moon_z  sun_x sun_y sun_z  earthvel_x earthvel_y earthvel_z
# generated by gen_area_ephemeris.py -- see file header for data provenance
# range: 2025-01-01 to 2030-06-01 UTC, step 60.0 min
47449
2461837.584134074 -133343.438547880 311121.574184031 140965.740768621 144431491.727425873 -31485395.202570755 -13649077.237679586 -7.356083304 -26.681166425 -11.564467279
2461837.625800741 -136832.777269769 309792.133561725 140013.958219533 144457949.658521295 -31389304.214700341 -13607428.781724686 -7.335039228 -26.685645830 -11.566406978
2461837.667467407 -140307.829391400 308429.684832224 139047.255993865 144484331.824349523 -31293197.126211774 -13565773.353497950 -7.313993335 -26.690111350 -11.568340793
2461837.709134074 -143768.203357328 307034.319566968 138065.712994604 144510638.218538553 -31197073.985983472 -13524110.973710543 -7.292945564 -26.694563009 -11.570268726
2461837.750800741 -147213.508060280 305606.133621111 137069.410180723 144536868.834748983 -31100934.842846576 -13482441.663050737 -7.271895915 -26.699000806 -11.572190790
2461837.792467407 -150643.352791088 304145.227197954 136058.430602984 144563023.665797859 -31004779.748808883 -13440765.443581291 -7.250844538 -26.703424755 -11.574106984
2461837.834134074 -154057.347535114 302651.704767202 135032.859338278 144589102.705416650 -30908608.752608042 -13399082.335945280 -7.229791254 -26.707834877 -11.576017318
2461837.875800741 -157455.102922025 301125.675124340 133992.783522969 144615105.947367281 -30812421.902933851 -13357392.360762797 -7.208736211 -26.712231185 -11.577921802
2461837.917467407 -160836.230179416 299567.251455652 132938.292388645 144641033.384573162 -30716219.251653794 -13315695.540029055 -7.187679321 -26.716613695 -11.579820434
2461837.959134074 -164200.341428047 297976.551247164 131869.477192022 144666885.010862052 -30620000.847363055 -13273991.894318847 -7.166620672 -26.720982406 -11.581713226
2461838.000800741 -167547.049635098 296353.696344506 130786.431248206 144692660.820089757 -30523766.738608487 -13232281.444183970 -7.145560205 -26.725337345 -11.583600184
2461838.042467407 -170875.968571451 294698.813018274 129689.249966315 144718360.805278718 -30427516.977115754 -13190564.211552005 -7.124498039 -26.729678515 -11.585481310
2461838.084134074 -174186.713105339 293012.031863535 128578.030774890 144743984.960345715 -30331251.611336205 -13148840.216929460 -7.103434086 -26.734005935 -11.587356616
2461838.125800741 -177478.899159030 291293.487859940 127452.873154991 144769533.279232860 -30234970.689672466 -13107109.480799856 -7.082368374 -26.738319624 -11.589226108
2461838.167467407 -180752.143669706 289543.320437199 126313.878675558 144795005.755054027 -30138674.263707176 -13065372.025023255 -7.061300933 -26.742619585 -11.591089787
2461838.209134074 -184006.064881113 287761.673365032 125161.150914324 144820402.381807446 -30042362.381746799 -13023627.870038018 -7.040231645 -26.746905830 -11.592947660
2461838.250800741 -187240.282303590 285948.694813303 123994.795490634 144845723.153513759 -29946035.092048779 -12981877.036259642 -7.019160718 -26.751178384 -11.594799740
2461838.292467407 -190454.416678475 284104.537417380 122814.920100444 144870968.063370675 -29849692.446051937 -12940119.545480935 -6.998088032 -26.755437251 -11.596646030
2461838.334134074 -193648.090267304 282229.358158427 121621.634432719 144896137.105449736 -29753334.491917092 -12898355.418072471 -6.977013618 -26.759682454 -11.598486530
2461838.375800741 -196820.926815099 280323.318423343 120415.050201877 144921230.273842663 -29656961.277755976 -12856584.674382122 -6.955937475 -26.763914000 -11.600321256
2461838.417467407 -199972.551518186 278386.584069781 119195.281182326 144946247.561822921 -29560572.854863029 -12814807.336135911 -6.934859663 -26.768131897 -11.602150204
2461838.459134074 -203102.591310490 276419.325296697 117962.443120351 144971188.963527620 -29464169.271253161 -12773023.423637178 -6.913780153 -26.772336170 -11.603973391
2461838.500800741 -206210.674829965 274421.716703883 116716.653766082 144996054.473111302 -29367750.574892133 -12731232.957166770 -6.892698884 -26.776526820 -11.605790818
2461838.542467407 -209296.432389685 272393.937356422 115458.032907478 145020844.083915263 -29271316.816929962 -12689435.958384605 -6.871615976 -26.780703876 -11.607602485
2461838.584134074 -212359.496260768 270336.170645436 114186.702277706 145045557.790133983 -29174868.045235667 -12647632.447527522 -6.850531340 -26.784867335 -11.609408410
2461838.625800741 -215399.500641802 268248.604347011 112902.785586559 145070195.585976899 -29078404.307629220 -12605822.444810158 -6.829445064 -26.789017219 -11.611208590
2461838.667467407 -218416.081633056 266131.430685877 111606.408553789 145094757.464845002 -28981925.655116528 -12564005.971827200 -6.808357090 -26.793153543 -11.613003038
2461838.709134074 -221408.877515546 263984.846186324 110297.698812009 145119243.420981973 -28885432.135421172 -12522183.048749926 -6.787267447 -26.797276322 -11.614791747
2461838.750800741 -224377.528723280 261809.051730313 108976.785937473 145143653.448643804 -28788923.796217937 -12480353.695727799 -6.766176134 -26.801385559 -11.616574740
2461838.792467407 -227321.677820434 259604.252620199 107643.801482681 145167987.541282892 -28692400.688369337 -12438517.934291350 -6.745083183 -26.805481281 -11.618352015
2461838.834134074 -230240.969776032 257370.658419791 106298.878874845 145192245.693184227 -28595862.859454397 -12396675.784547471 -6.723988563 -26.809563484 -11.620123576
2461838.875800741 -233135.051938842 255108.483011486 104942.153445957 145216427.898641855 -28499310.357003730 -12354827.266581662 -6.702892244 -26.813632190 -11.621889429
2461838.917467407 -236003.574017315 252817.944657838 103573.762464595 145240534.151151538 -28402743.231737617 -12312972.401861615 -6.681794256 -26.817687422 -11.623649588
2461838.959134074 -238846.188349357 250499.265832789 102193.845030004 145264564.445030838 -28306161.531091828 -12271111.210431194 -6.660694629 -26.821729176 -11.625404047
2461839.000800741 -241662.549879680 248152.673277652 100802.542101392 145288518.774604082 -28209565.302454278 -12229243.712313399 -6.639593452 -26.825757477 -11.627152815
2461839.042467407 -244452.316142276 245778.398061375 99399.996528877 145312397.133401811 -28112954.596404605 -12187369.928914584 -6.618490458 -26.829772346 -11.628895903
2461839.084134074 -247215.147524772 243376.675401979 97986.352943248 145336199.515766233 -28016329.460237075 -12145489.880217204 -6.597385943 -26.833773769 -11.630633311
2461839.125800741 -249950.707247990 240947.744721249 96561.757784436 145359925.916043282 -27919689.941198818 -12103603.586183416 -6.576279759 -26.837761782 -11.632365052
2461839.167467407 -252658.661350750 238491.849703550 95126.359331557 145383576.327790290 -27823036.089730840 -12061711.068159975 -6.555171907 -26.841736380 -11.634091120
2461839.209134074 -255338.678948245 236009.238107542 93680.307588431 145407150.745365709 -27726367.952988174 -12019812.346069720 -6.534062445 -26.845697600 -11.635811534
2461839.250800741 -257990.432213592 233500.161819461 92223.754311195 145430649.163129151 -27629685.578079507 -11977907.439815864 -6.512951285 -26.849645443 -11.637526281
2461839.292467407 -260613.596364710 230964.876910357 90756.853037392 145454071.574656248 -27532989.015309747 -11935996.370687511 -6.491838545 -26.853579905 -11.639235388
2461839.334134074 -263207.849916173 228403.643438205 89279.758967362 145477417.974313676 -27436278.311697308 -11894079.158549931 -6.470724255 -26.857501023 -11.640938846
2461839.375800741 -265772.874662503 225816.725499662 87792.628990953 145500688.356466442 -27339553.514215276 -11852155.823249491 -6.449608207 -26.861408792 -11.642636660
2461839.417467407 -268308.355666866 223204.391285639 86295.621715648 145523882.714700669 -27242814.673035432 -11810226.386019817 -6.428490579 -26.865303226 -11.644328842
2461839.459134074 -270813.981505850 220566.912873936 84788.897343923 145547001.043383062 -27146061.835042741 -11768290.866670854 -6.407371193 -26.869184356 -11.646015396
2461839.500800741 -273289.444254249 217904.566279411 83272.617699065 145570043.336875945 -27049295.047077965 -11726349.284994448 -6.386250287 -26.873052172 -11.647696322
2461839.542467407 -275734.439475303 215217.631507798 81746.946252297 145593009.588768065 -26952514.359183185 -11684401.662171127 -6.365127712 -26.876906697 -11.649371626
2461839.584134074 -278148.666457864 212506.392339054 80212.047996261 145615899.793418169 -26855719.818113487 -11642448.017957980 -6.344003469 -26.880747940 -11.651041314
2461839.625800741 -280531.828202391 209771.136375881 78668.089469924 145638713.945178241 -26758911.470581096 -11600488.372094866 -6.322877645 -26.884575915 -11.652705392
2461839.667467407 -282883.631412477 207012.155095741 77115.238784710 145661452.037631571 -26662089.366502289 -11558522.745711822 -6.301750153 -26.888390634 -11.654363865
2461839.709134074 -285203.786723843 204229.743625130 75553.665494252 145684114.065121591 -26565253.552506339 -11516551.158515733 -6.280620962 -26.892192103 -11.656016733
2461839.750800741 -287492.008691285 201424.200786425 73983.540618399 145706700.021981984 -26468404.075181123 -11474573.630197225 -6.259490222 -26.895980325 -11.657664008
2461839.792467407 -289748.015781211 198595.829148069 72405.036668369 145729209.901783377 -26371540.984321468 -11432590.181838628 -6.238357782 -26.899755333 -11.659305682
